Sr. No,Sample code,Al,As,Cd,Cr,Cu,Fe,Mn,Ni,Pb,Zn
BIS Limit (ppm),,0.03-0.20,0.01,0.003,0.05,0.05-1.5,0.3,0.10-0.30,0.02,0.01,5.0-15
I1C0P5-0O0:E2S0 1d2e t1e0c5ti0o0n:2 l0im12it,,0.0001,0.007,0.0001,0.01,0.0004,0.0003,0.0001,0.005,0.009,0.001
10510 0:20,12 10N50G0W:210 12,0.032,BDL,0,BDL,0,0.036,0.010,0.016,0.014,0.042
1D05e0t e0 c:t2i0o1n 2,2 L. 1im0N5it0G 0( W p:2p 20m 12) .,0.002 0.057,BDL,0,0,0,0.138,0.018,0.010,0.010,0.009
105 3,00:2012. NGW3,0.020,BDL,0,BDL,BDL,0.026,0.003,0.010,0.010,BDL
4,NGW4,0.028,0,0,BDL,0,0.035,0.257,BDL,0.006,0.006
5,NGW5,0.033,BDL,0,0.001,BDL,0.018,0.006,0.006,0.0. 05,0.007
6,NGW6,0.133,BDL,0,BDL,0.001,0.203,0.104,0.017,0.011,0.036
7,NGW7,0.041,BDL,0,0,0.001,0.036,0.022,0.017,0.014,0.115
8,NGW8,0.070,BDL,0,BDL,0.002,0.091,0.010,0.011,0.007,0.551
9,NGW9,0.029,0,0,BDL,BDL,0.039,0.027,BDL,0.005,0.015
10,NGW10,0.049,0.001,0,BDL,0.001,0.049,0.010,0.006,0.006,0.147
11,NGW11,0.024,BDL,0,BDL,BDL,0.010,0.001,BDL,0.004,0.002
12,NGW12,0.023,BDL,0,BDL,BDL,BDL,0.008,0.017,0.016,BDL
