Sr No.,Sample CODE,DO (mg/L),COD (mg/l),TKN as N (mg/l),Phosphate as P (mg/l)
1,SG,6.9,32.86,5.6,0.66
2,FL,5.39,22.86,1.75,0.44
3,GD,7.13,79.52,5.95,0.64
4,AZ,4.9,51.43,2.8,0.53
5,BK,1.28,34.76,17.1,4.86
6,NK,4.87,63.81,13.3,1.77
7,SD,6.31,33.33,5.25,0.62
8,PD,6.53,43.81,3.85,6.28
9,GS,7.03,81.42,9.8,3.65
10,PLT,7.65,71.90,3.5,2.25
Sr. No,Sample code,Total Coliform (TC) (CFU/100ml),Thermotolerant F aecal Coliform (FC) (CFU/100ml),,
1,SG,20000,20000,,
2,FL,10000,20000,,
3,GD,40000,10000,,
4,AZ,40000,20000,,
5,BK,140000,60000,,
6,NK,140000,100000,,
7,SD,10000,20000,,
8,PD,80000,10000,,
9,GS,60000,40000,,
10,PLT,10000,10000,,
