Sr. No,Sample Code,Sources,Latitude,Longitude,Other Observations
1,SG-1,Lake,"21°05'54.0""N","79°03'01.0""E","Plastics, Papers"
2,SG-2,Lake,"21°05'58.8""N","79°03'15.7""E","Plastics, Papers"
3,FL,Lake,21˚09′06″N,79˚02′37″E,Eichhornia
4,GD,Lake,21˚11′37.79″N,79˚02′27.84″E,"Plastics, weed vegetation at the bank"
5,AZ-1,Lake,"21°07'31.9""N","79°02'34.8""E","Eichhornia, Greenish water"
6,AZ-2,Lake,"21°07'39.8""N","79°02'28.3""E","Greenish water, surrounded areas clean"
7,BK,Lake,"21°10'09.2""N","79°07'17.7""E","Garbage, construction material weed growth on bank"
8,NK,Lake,"21°09'45.0""N","79°06'47.8""E",Eichhornia
9,SD,Lake,"21°07'15.8""N","79°06'54.1""E",Floating weeds
10,PD,Lake,"21°08'33.3""N","79°03'03.0""E","Plastics, weeds growth surrounding lakes"
11,GS,Lake,"21° 8'48.47""N","79° 5'56.35""E",Clear water
12,PLT,Lake,"21°10'29.26""N","79° 4'13.29""E","Semi submerged vegetation, greenish water"
