Sr. No,Sample Code,pH,EC,TDS,Total Alkalinity,Total Hardness,Calicum 2+ as Ca,Magnesium as Mg++,Sodium (Na+),Potassi um (K+),Fluoride,Chlorid e,Sulphat e SO 2- 4,Nitrate as N
Units,,-,µS/cm,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
BIS 10500:2012 (Acceptable/ Permissible limit),,6.5- 8.5,-,500- 2000,200-600,200-600,75-200,30-100,-,-,1.0-1.5,250- 1000,200-400,45
1,SG,8.44,402,282,102.8,83.88,31,7.29,15.25,2.05,0.31,37.49,63,0.43
2,FL,7.65,461,327,217.5,108.28,39,9.72,13.9,2.25,0.25,39.99,37,0.50
3,GD,8.27,304,216,160,74.73,29,6.08,88.5,1.25,0.26,27.49,47.5,1.24
4,AZ,8.82,507,360,221.25,93.03,40,6.38,21.75,2.55,0.28,48.73,55,0.73
5,BK,8.69,538,382,228.75,93.03,47,4.25,35.8,11.15,0.23,44.99,89,0.49
6,NK,6.96,846,603,290,154.03,61,12.15,54.1,10.1,0.21,59.98,143,0.55
7,SD,7.9,810,515,226.25,83.88,35,6.08,58,2.5,0.31,53.73,76.5,0.71
8,PD,7.81,601,426,201.25,108.28,43,8.51,25.65,3.15,0.19,89.97,62.5,0.44
9,GS,7.83,834,591,237.5,96.08,25,11.54,88.6,10.25,0.44,86.22,122,0.71
10,PLT,8.23,493,351,200,96.08,33,9.11,22.55,1.35,0.42,43.74,89.5,0.48
