nmc_zone,esr,zone_code,supply_hrs,confidence,r,g,b
ASHI NAGAR,NARI ESR,SZ-10,CHECK:02-04?,manual,0.476,0.284,0.24
ASHI NAGAR,NARI ESR,SZ-7,CHECK:02-04?,manual,0.445,0.37,0.185
ASHI NAGAR,NARI ESR,SZ-11,CHECK:02-04?,manual,0.471,0.285,0.244
ASHI NAGAR,NARI ESR,SZ-6,CHECK:02-04?,manual,0.428,0.369,0.203
ASHI NAGAR,NARI ESR,SZ-1,CHECK:02-04?,manual,0.423,0.365,0.212
ASHI NAGAR,NARI ESR,SZ-18,CHECK:02-04?,manual,0.437,0.37,0.193
ASHI NAGAR,NARI ESR,SZ-17,CHECK:02-04?,manual,0.382,0.369,0.249
ASHI NAGAR,NARI ESR,SZ-14,CHECK:02-04?,manual,0.464,0.37,0.166
ASHI NAGAR,NARI ESR,SZ-2,CHECK:02-04?,manual,0.435,0.364,0.202
ASHI NAGAR,NARI ESR,SZ-15,CHECK:02-04?,manual,0.375,0.371,0.255
ASHI NAGAR,NARI ESR,SZ-19,CHECK:02-04?,manual,0.496,0.28,0.224
ASHI NAGAR,NARI ESR,SZ-9,CHECK:02-04?,manual,0.461,0.375,0.164
ASHI NAGAR,NARI ESR,SZ-5,CHECK:02-04?,manual,0.427,0.366,0.208
ASHI NAGAR,NARI ESR,SZ-13,CHECK:02-04?,manual,0.478,0.284,0.238
ASHI NAGAR,NARI ESR,SZ-8,CHECK:02-04?,manual,0.377,0.373,0.25
ASHI NAGAR,NARI ESR,SZ-12,CHECK:02-04?,manual,0.425,0.366,0.209
ASHI NAGAR,NARI ESR,SZ-20,CHECK:02-04?,manual,0.431,0.371,0.198
ASHI NAGAR,NARI ESR,SZ-3,CHECK:02-04?,manual,0.427,0.366,0.207
ASHI NAGAR,NARI ESR,SZ-16,CHECK:02-04?,manual,0.377,0.371,0.252
ASHI NAGAR,NARI ESR,SZ-4,CHECK:02-04?,manual,0.429,0.363,0.208
ASHI NAGAR,NARI ESR,SZ-21,CHECK:02-04?,manual,0.421,0.367,0.212
ASHI NAGAR,Nara ESR,SZ-20,CHECK:02-04?,manual,0.369,0.372,0.259
ASHI NAGAR,Nara ESR,SZ-18,CHECK:18-24?,manual,0.303,0.36,0.337
ASHI NAGAR,Nara ESR,SZ-19,CHECK:18-24?,manual,0.3,0.361,0.339
ASHI NAGAR,Nara ESR,SZ-15,04-08,auto,0.271,0.339,0.39
ASHI NAGAR,Nara ESR,SZ-10,CHECK:18-24?,manual,0.3,0.358,0.342
ASHI NAGAR,Nara ESR,SZ-9,CHECK:18-24?,manual,0.296,0.363,0.341
ASHI NAGAR,Nara ESR,SZ-8,CHECK:18-24?,manual,0.298,0.363,0.339
ASHI NAGAR,Nara ESR,SZ-22,CHECK:18-24?,manual,0.298,0.362,0.339
ASHI NAGAR,Nara ESR,SZ-21,CHECK:02-04?,manual,0.373,0.377,0.249
ASHI NAGAR,Nara ESR,SZ-1,04-08,auto,0.26,0.344,0.397
ASHI NAGAR,Nara ESR,SZ-7,CHECK:02-04?,manual,0.375,0.373,0.252
ASHI NAGAR,Nara ESR,SZ-6,CHECK:18-24?,manual,0.302,0.362,0.337
ASHI NAGAR,Nara ESR,SZ-3,CHECK:02-04?,manual,0.47,0.382,0.147
