Sr. No.,Sample Code,Total Coliforms (TC) (CFU/100ml),Thermotolerant Faecal Coliforms (FC) (CFU/100ml)
1,Nag-1,600000,280000
2,Nag-2,440000,280000
3,Nag-3,540000,300000
4,Nag-4,280000,100000
5,Nag-5,220000,120000
6,Nag-6,140000,80000
7,Nag-7,300000,200000
8,Nag-8,180000,100000
9,Nag-9,140000,80000
10,Nag-10,220000,100000
11,Pilli-1,320000,220000
12,Pilli-2,320000,150000
13,Pilli-3,340000,120000
14,Pilli-4,420000,180000
15,Pilli-5,100000,140000
16,Pilli-6,140000,300000
17,Pilli-7,80000,60000
18,Pilli-8,40000,40000
19,Pora-1,240000,10000
20,Pora-2,460000,10000
21,Pora-3,240000,120000
22,Pora-4,560000,320000
23,Pora-5,280000,200000
