Sampling Points,Sample Details / location details,Latitude,Longitude
NAG RIVER,,,
Nag-1,Initial sampling point (Ambazari lake),21°7’30.0’’N,79°2’39.6” E
Nag-2,Flow point-2 (NIT swimming pool),21°7’47.4’’N,79°2’57.3” E
Nag-3,Flow point-3 (VNIT Campus),21°7’47.5’’N,79°3’3.2” E
Nag-4,NIT cover point near shape up Gym,21°7’53.2’’ N,79°3’22.9” E
Nag-5,Drain mix behind Yashwant stadium (Sitabuldi bridge),21°8’25.5’’ N,79°4’58.3” E
Nag-6,Drain mix at Mokshdham (Near NMC STP),21°8’14.76’’N,79°5’19.88” E
Nag-7,"Ashirwad talkies, great Nag road, Baidhyanath square Rambagh)",21°8’14.4’’N,79°5’44.0” E
Nag-8,"Jagnade chowk, Ganeshnagar, Azamshan layout",21°8’25.3’’N,79°7’10.3” E
Nag-9,Centre point school Wardhmannagar,21°8’52.9’’N,79°8’57.9” E
Nag-10,Nag River end point,"21° 9'57.57""N","79°10'48.42""E"
PILLI RIVER,,,
Pilli-1,Initial sampling point (Gorewada),21°11’38.5’’N,79°2’49.0” E
Pilli-2,"1st and 2nd drain mix (St. Mary school, 1/F Jafarnagar)",21°11’25.2’’N,79°3’46.1” E
Pilli-3,"Suflam seed company (behind Mahindra Showroom, Koradi)",21°11’23.56’’N,79°4’42.76” E
Pilli-4,Nara Kabristan Nara Road (Bridge),21°11’35.57’’N,79°5’28.11” E
Pilli-5,Pilli river Nari bridge -2,21°11’58.0’’N,79°6’8.7” E
Pilli-6,Bhilgaon road near Rizwan motor,21°10’47.35’’N,79°8’2.90” E
Pilli-7,Kalamnagao police chowki,21°10’45.3’’N,79°9’10.1” E
Pilli-8,Blossom School (Pawangao) (Mixing of Nag and Pilli),21°9’58.1’’N,79°10’44.4” E
PORA RIVER,,,
Pora-1,-,"21° 4'12.79""N","79° 3'34.68""E"
Pora-2,-,"21° 5'7.95""N","79° 7'28.32""E"
Pora-3,-,"21° 5'11.08""N","79° 8'36.91""E"
Pora-4,-,"21° 5'14.50""N","79° 8'53.06""E"
Pora-5,Pora river end point,"21° 5'28.18""N","79° 9'42.94""E"
