Sr No.,Sample details,DO (mg/L),COD (mg/L),TKN as N (mg/L),Phosphate as P (mg/L)
1,Nag-1,3.67,ND,12.9,1.51
2,Nag-2,3.63,30.95,14,1.55
3,Nag-3,3.88,18.57,7.7,3.49
4,Nag-4,3.81,4.76,8.75,6.47
5,Nag-5,1.90,50.95,10.8,8.16
6,Nag-6,1.2,46.66,5.95,4.22
7,Nag-7,1.02,36.19,5.95,6.03
8,Nag-8,1.10,40.95,12.9,4.4
9,Nag-9,1.2,36.66,10.1,5.13
10,Nag-10,0.48,40.48,8.75,4.74
11,Pilli-1,4.20,19.05,5.6,2.74
12,Pilli-2,2.87,10.95,15.4,4.65
13,Pilli-3,1.16,11.43,12.9,5.65
14,Pilli-4,0.92,11.43,7.7,3.89
15,Pilli-5,0.74,7.62,6.65,4.87
16,Pilli-6,0.95,14.76,14.7,4.85
17,Pilli-7,0.78,7.62,8.75,6.06
18,Pilli-8,1.18,7.62,6.3,6.04
19,Pora-1,4.8,14.29,9.1,4.26
20,Pora-2,2.21,ND,5.6,4.36
21,Pora-3,0.74,8.57,12.2,4.98
22,Pora-4,0.63,25.71,7.35,4.69
23,Pora-5,0.81,56.67,9.8,4.29
