Sr No,Sample details,pH,EC,TDS,Alkalin ity as CaCO 3,Total Hardnes s CaCO 3,Calciu m as Ca2+,Magne sium as Mg++,Sodiu m (Na+),Potassi um (K+),Fluor ide,Chlori de (Cl-),Sulph ate as SO 2- 4,Nitrate as N
Units,,,µS/cm,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l
BIS 10500:2012 (Acceptable/ Permissible limit),,6.5- 8.5,-,500- 2000,200- 600,200-600,75-200,30-100,,,1.0- 1.5,250- 1000,200- 400,45
1,Nag-1,7.14,0.465,232,221.25,93.03,39,6.68,23.7,2.75,0.28,59.98,52.5,0.15
2,Nag-2,7.59,0.464,232,218.75,103.7,37,9.42,23.8,3.35,0.29,63.73,47.5,0.20
3,Nag-3,7.9,0.468,234,223.75,99.13,41,7.29,23.9,3.35,0.27,66.23,50.5,0.25
4,Nag-4,7.78,0.499,250,220,100.65,39,8.2,25.2,3.2,0.28,58.73,55,0.24
5,Nag-5,7.63,0.603,302,278.75,123.53,51,9.11,34.8,4.05,0.35,63.73,58.5,0.06
6,Nag-6,7.73,0.613,306,301.25,123.53,51,9.11,37.65,4.35,0.34,63.73,60,0.02
7,Nag-7,7.75,0.620,310,291.25,120.48,55,7.29,38.1,4.4,0.36,58.73,57,0.01
8,Nag-8,7.83,0.631,316,298.75,126.58,51,9.72,41.8,4.45,0.36,43.74,64.5,ND
9,Nag-9,7.83,0.700,350,331.25,123.53,55,7.9,58.05,7.85,0.36,57.48,69,0.01
10,Nag-10,8.04,0.808,404,345,120.48,49,9.11,61.95,7.6,0.4,64.98,73.5,0.01
11,Pilli-1,8.15,0.493,247,311.25,123.53,47,10.33,14.7,1.65,0.42,46.24,21,0.10
12,Pilli-2,8.21,0.671,336,312.5,132.68,46,12.45,38.85,4.6,0.36,51.23,67,0.27
13,Pilli-3,8.16,0.730,365,336.25,135.73,55,10.33,46.8,5.35,0.4,63.73,53,0.14
14,Pilli-4,8.16,0.735,368,316.25,129.63,56,8.81,51.95,5.3,0.43,64.98,56,0.25
15,Pilli-5,8.21,0.744,372,340,129.63,57,8.51,55,5.65,0.44,53.73,55.5,0.17
16,Pilli-6,8.19,0.780,390,342.5,140.3,57,10.63,54.85,6.35,0.42,68.73,61.5,0.48
17,Pilli-7,8.03,0.784,394,387.5,123.53,55,7.9,61.35,7.65,0.41,66.23,25,0.19
18,Pilli-8,8.15,0.776,388,316.25,129.63,53,9.72,58.65,8.05,0.41,63.73,63.5,0.30
19,Pora-1,8.46,0.807,404,383.75,166.23,61,14.58,40.5,3.25,0.46,66.23,34.5,1.48
20,Pora-2,8.36,0.762,381,392.5,125.05,53,8.81,61.8,5.75,0.47,63.73,59.5,0.17
21,Pora-3,8.3,0.766,383,382.5,129.63,61,7.29,62.05,6.15,0.48,69.98,78,0.13
22,Pora-4,8.29,0.854,427,402.5,126.58,59,7.29,75.65,7.85,0.51,86.22,88,0.38
23,Pora-5,8.35,0.799,398,392.5,122,58,6.68,74.25,7.65,0.49,82.47,84,0.31
