sample_no,taluka,site_name,latitude,longitude,pH,EC,TDS,TH,Ca,Mg,Na,K,HCO3,Cl,SO4,NO3,F,SAR,RSC
1,Nagpur,Hudkeshwar,21.0831,79.1269,8,1160,757,245,92.0,3.6,152,4.7,170,199,20,40,,4.22,-2.11
2,Umred,Wadegaon,21.0367,79.1908,7.9,968,632,345,90.0,29.2,62,2.0,160,128,23,47,,1.45,-4.28
3,Nagpur,Banawadi,21.0500,79.0928,7.7,670,438,300,90.0,18.2,16,2.0,149,50,22,29,,0.40,-3.56
4,Umred,Matkazari,20.9822,79.1378,7.6,965,630,275,90.0,12.2,92,19.6,273,57,24,31,,2.41,-1.03
5,Umred,Jamgarh,20.8844,79.1378,8.1,670,438,260,84.0,12.2,23,2.0,152,50,23,28,,0.62,-2.70
6,Umred,Chargaon,20.8589,79.0814,7.8,902,589,370,108.0,24.3,37,7.8,135,160,24,42,,0.83,-5.19
7,Nagpur,Chimnazari,20.8225,78.9561,7.6,995,650,400,96.0,38.9,44,0.4,202,113,8,43,,0.95,-4.69
8,Nagpur,Saubhagyanagar,21.0931,79.1208,7.9,1050,686,360,122.0,13.4,71,7.8,142,195,6,81,,1.63,-4.88
9,Nagpur,Jaitala,21.1119,79.0264,8.1,315,206,110,40.0,2.4,21,3.9,64,21,23,23,,0.86,-1.15
10,Hingna,Panjari,21.0358,78.9617,8.1,916,598,240,82.0,8.5,92,7.8,199,110,6,31,,2.58,-1.55
11,Nagpur,Pioli Nadi,21.1889,79.1228,8,815,532,350,88.0,31.6,35,3.9,131,117,48,25,,0.80,-4.85
12,Hingna,Salai,20.9625,78.9500,7.7,1045,682,285,100.0,8.5,104,3.9,174,156,11,48,,2.67,-2.85
13,Hingna,Lakhmpur,20.9505,78.8874,7.8,606,396,250,74.0,15.8,23,2.0,163,21,24,19,,0.63,-2.33
14,Hingna,Khairi,20.9094,78.9000,7.6,972,635,235,80.0,8.5,115,3.9,163,113,53,37,,3.26,-2.03
15,Hingna,Chauki,20.8998,78.7814,7.8,608,397,230,76.0,9.7,35,2.0,149,25,34,25,,0.99,-2.16
16,Hingna,Navegaon,20.9896,78.7948,7.9,550,359,200,72.0,4.9,35,3.9,142,25,34,19,,1.06,-1.68
17,Hingna,Ambazari,21.0517,78.8374,8,709,463,290,100.0,9.7,28,3.9,177,35,48,25,,0.70,-2.89
18,Umred,Paradgaon,20.9203,79.2192,7.9,460,300,200,62.0,10.9,14,2.0,71,64,38,12,,0.42,-2.84
19,Umred,Virali,20.9172,79.2828,8.1,954,623,380,118.0,20.7,46,3.9,89,181,72,37,,1.03,-6.15
20,Umred,Bramhni,20.9128,79.3575,7.9,2433,1589,625,98.0,92.4,276,11.7,43,638,211,37,,4.80,-11.80
21,Umred,Belgaon,20.8290,79.3378,8.1,4920,3213,225,64.0,15.8,1035,15.6,124,1450,240,12,,30.00,-2.47
22,Umred,Dighori,20.7783,79.2319,8.1,660,431,240,58.0,23.1,41,3.9,53,149,22,17,,1.16,-3.93
23,Nagpur,Shiwa,21.1172,78.7439,8.2,648,423,270,86.0,13.4,23,3.9,142,46,24,37,,0.61,-3.08
24,Hingna,Digdoh,21.0886,78.7567,7.9,1343,877,530,180.0,19.4,64,7.8,238,199,23,37,,1.22,-6.71
25,Hingna,Turagondi,21.1122,78.8314,8,658,430,205,64.0,10.9,53,3.9,82,78,58,25,,1.61A-34,-2.76
26,Umred,Belpeth/Shedesh war,20.7477,79.1181,8.1,1600,1045,640,120.0,82.6,78,7.8,284,206,82,37,,1.34,-8.15
27,Umred,Kinhala,20.7040,79.1405,7.9,581,379,200,64.0,9.7,41,2.0,43,103,48,37,,1.27,-3.30
28,Umred,Sirsi,20.6783,79.1619,7.9,1435,937,605,142.0,60.8,46,7.8,39,397,58,37,,0.81,-11.46
