sample_code,DO_mg_L,COD_mg_L,BOD_mg_L,TKN_as_N_mg_L,phosphate_as_P_mg_L
Nag-1,5.01,94,18,4.55,0.83
Nag-2,5.45,24,6,7.0,1.18
Nag-3,0.41,60,15,4.9,11.01
Nag-4,0.78,126,25,4.55,10.4
Nag-5,0.8,120,22,4.2,5.63
Nag-6,0.82,92,20,3.85,6.2
Nag-7,0.73,142,36,4.2,8.28
Nag-8,0.47,186,49,3.15,8.12
Nag-9,1.69,140,38,3.15,5.22
Pilli-1,1.02,228,127,2.45,1.19
Pilli-2,0.56,222,21,8.75,6.44
Pilli-3,1.15,304,67,8.75,5.08
Pilli-4,1.28,182,21,3.5,5.47
Pilli-5,2.21,142,36,4.55,6.91
Pilli-6,0.77,82,18,13.65,6.3
Pilli-7,0.65,112,28,6.65,8.51
Pilli-8,1.33,134,48,3.15,6.64
Pora-1,2.57,84,20,9.1,3.77
Pora-2,0.72,96,24,3.85,4.54
Pora-3,1.07,114,38,11.2,5.1
Pora-4,0.66,172,47,5.6,7.69
