sr_no,sample_code,source_type,latitude_dms,longitude_dms,location_details
1,NGW-1,DW,"21°05'41""N","79°01'34""E",Shivangaon (Nagpur-Wardha highway)
2,NGW-2,BW,"21°04'00""N","79°03'33""E",Near drainage line
3,NGW-3,DW,"21°05'47""N","79°07'30""E",Tajeshwar Nagar
4,NGW-4,DW,"21°07'50""N","79°08'21""E",Vidya Nagar
5,NGW-5,DW,"21°06'37""N","79°06'16""E",Ladika Layout
6,NGW-6,DW,"21°07'18""N","79°04'22""E",CSIR-NEERI campus
7,NGW-7,DW,"21°10'45""N","79°02'29""E",Narmada Colony
8,NGW-8,DW,"21°12'03""N","79°04'51""E",OM Nagar
9,NGW-9,DW,"21°09'52""N","79°10'.02""E",Bharatwada
10,NGW-10,DW,"21°10'06""N","79°06'22""E",Balabhaupeth
11,NGW-11,DW,"21°07'58""","79°06'43""E",Reshimbagh
12,NGW-12,DW,"21°09'18""N","79°03'33""E",Kadimbagh
