sample_code,Al_ppm,As_ppm,Cd_ppm,Cr_ppm,Cu_ppm,Fe_ppm,Mn_ppm,Ni_ppm,Pb_ppm,Zn_ppm
NGW1,0.032,BDL,0,BDL,0,0.036,0.01,0.016,0.014,0.042
NGW2,0.057,BDL,0,0,0,0.138,0.018,0.01,0.01,0.009
NGW3,0.02,BDL,0,BDL,BDL,0.026,0.003,0.01,0.01,BDL
NGW4,0.028,0,0,BDL,0,0.035,0.257,BDL,0.006,0.006
NGW5,0.033,BDL,0,0.001,BDL,0.018,0.006,0.006,0.005,0.007
NGW6,0.133,BDL,0,BDL,0.001,0.203,0.104,0.017,0.011,0.036
NGW7,0.041,BDL,0,0,0.001,0.036,0.022,0.017,0.014,0.115
NGW8,0.07,BDL,0,BDL,0.002,0.091,0.01,0.011,0.007,0.551
NGW9,0.029,0,0,BDL,BDL,0.039,0.027,BDL,0.005,0.015
NGW10,0.049,0.001,0,BDL,0.001,0.049,0.01,0.006,0.006,0.147
NGW11,0.024,BDL,0,BDL,BDL,0.01,0.001,BDL,0.004,0.002
NGW12,0.023,BDL,0,BDL,BDL,BDL,0.008,0.017,0.016,BDL
