sample_code,pH,EC_uS_cm,TDS_mg_L,sodium_mg_L,potassium_mg_L,hardness_mg_L,calcium_mg_L,magnesium_mg_L,alkalinity_mg_L,chloride_mg_L,nitrate_mg_L,phosphate_mg_L,fluoride_mg_L,sulphate_mg_L
NGW1,7.15,798,479,29.1,0.7,332,67.2,39.36,284,25.99,36.8,0.1,0.59,40.8
NGW2,7.34,784,471,57.2,1.0,324,52.8,46.08,284,43.99,15.3,0.05,0.58,26.7
NGW3,7.86,775,465,29.1,1.0,348,56.0,49.92,244,59.98,30.5,0.05,1.0,48.7
NGW4,7.24,1467,880,122.2,2.8,440,78.4,58.56,344,179.94,5.0,0.06,1.3,58.7
NGW5,7.56,496,298,58.7,1.3,180,28.8,25.92,180,27.99,6.1,0.2,0.58,28.1
NGW6,7.4,1346,807,133.4,1.8,404,38.4,73.92,468,115.96,2.4,0.08,1.3,47.6
NGW7,7.73,835,501,36.5,0.5,352,38.4,61.44,288,57.98,13.2,0.1,1.1,46.8
NGW8,7.44,1254,752,212.0,3.0,224,43.2,27.84,456,81.97,7.3,0.24,1.2,70.7
NGW9,7.26,1870,1122,152.0,2.2,620,92.8,93.12,352,275.91,37.4,0.23,0.78,157.2
NGW10,7.6,1685,1011,256.0,5.4,296,38.4,48.0,392,153.95,31.5,0.3,0.81,253.9
NGW11,7.6,713,428,87.1,0.7,172,25.6,25.92,236,55.98,11.8,0.16,1.4,30.7
NGW12,7.2,834,500,23.9,19.0,292,99.2,10.56,288,67.98,8.3,0.28,0.21,48.8177
