sample_code,total_coliform_cfu_100ml,thermotolerant_faecal_coliform_cfu_100ml
Nag-1,600000,280000
Nag-2,440000,280000
Nag-3,540000,300000
Nag-4,280000,100000
Nag-5,220000,120000
Nag-6,140000,80000
Nag-7,300000,200000
Nag-8,180000,100000
Nag-9,140000,80000
Nag-10,220000,100000
Pilli-1,320000,220000
Pilli-2,320000,150000
Pilli-3,340000,120000
Pilli-4,420000,180000
Pilli-5,100000,140000
Pilli-6,140000,300000
Pilli-7,80000,60000
Pilli-8,40000,40000
Pora-1,240000,10000
Pora-2,460000,10000
Pora-3,240000,120000
Pora-4,560000,320000
Pora-5,280000,200000
