sr,taluka,site,lat,lon,aquifer,ph,ec,tds,th,ca,mg,na,k,hco3,cl,so4,no3,f,sar,rsc,page,is10500_exceedances,n_params_tested,irrigation_class_e,source_agency,sample_period
1,Nagpur,Hudkeshwar Bk.,21.0831,79.1269,shallow,8.0,1160.0,757.0,245.0,92.0,3.6,152.0,4.7,170.0,199.0,20.0,40.0,,4.22,-2.11,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
2,Umred,Wadegaon,21.0367,79.1908,shallow,7.9,968.0,632.0,345.0,90.0,29.2,62.0,2.0,160.0,128.0,23.0,47.0,,1.45,-4.28,245.0,nitrate,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
3,Nagpur (R),Banawadi,21.05,79.0928,shallow,7.7,670.0,438.0,300.0,90.0,18.2,16.0,2.0,149.0,50.0,22.0,29.0,,0.4,-3.56,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
4,Umred,Matkazari,20.9822,79.1378,shallow,7.6,965.0,630.0,275.0,90.0,12.2,92.0,19.6,273.0,57.0,24.0,31.0,,2.41,-1.03,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
5,Umred,Jamgarh,20.8844,79.1378,shallow,8.1,670.0,438.0,260.0,84.0,12.2,23.0,2.0,152.0,50.0,23.0,28.0,,0.62,-2.7,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
6,Umred,Chargaon,20.8589,79.0814,shallow,7.8,902.0,589.0,370.0,108.0,24.3,37.0,7.8,135.0,160.0,24.0,42.0,,0.83,-5.19,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
7,Nagpur (R),Chimnazari,20.8225,78.9561,shallow,7.6,995.0,650.0,400.0,96.0,38.9,44.0,0.4,202.0,113.0,8.0,43.0,,0.95,-4.69,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
8,Nagpur,Saubhagyanagar,21.0931,79.1208,shallow,7.9,1050.0,686.0,360.0,122.0,13.4,71.0,7.8,142.0,195.0,6.0,81.0,,1.63,-4.88,245.0,nitrate,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
9,Nagpur,Jaitala,21.1119,79.0264,shallow,8.1,315.0,206.0,110.0,40.0,2.4,21.0,3.9,64.0,21.0,23.0,23.0,,0.86,-1.15,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
10,Hingna,Panjari,21.0358,78.9617,shallow,8.1,916.0,598.0,240.0,82.0,8.5,92.0,7.8,199.0,110.0,6.0,31.0,,2.58,-1.55,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
11,Nagpur,Pioli Nadi,21.1889,79.1228,shallow,8.0,815.0,532.0,350.0,88.0,31.6,35.0,3.9,131.0,117.0,48.0,25.0,,0.8,-4.85,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
12,Hingna,Salai Dabha,20.9625,78.95,shallow,7.7,1045.0,682.0,285.0,100.0,8.5,104.0,3.9,174.0,156.0,11.0,48.0,,2.67,-2.85,245.0,nitrate,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
13,Hingna,Lakhmpur,20.9505,78.8874,shallow,7.8,606.0,396.0,250.0,74.0,15.8,23.0,2.0,163.0,21.0,24.0,19.0,,0.63,-2.33,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
14,Hingna,Khairi kh.,20.9094,78.9,shallow,7.6,972.0,635.0,235.0,80.0,8.5,115.0,3.9,163.0,113.0,53.0,37.0,,3.26,-2.03,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
15,Hingna,Chauki,20.8998,78.7814,shallow,7.8,608.0,397.0,230.0,76.0,9.7,35.0,2.0,149.0,25.0,34.0,25.0,,0.99,-2.16,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
16,Hingna,Navegaon,20.9896,78.7948,shallow,7.9,550.0,359.0,200.0,72.0,4.9,35.0,3.9,142.0,25.0,34.0,19.0,,1.06,-1.68,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
17,Hingna,Ambazari,21.0517,78.8374,shallow,8.0,709.0,463.0,290.0,100.0,9.7,28.0,3.9,177.0,35.0,48.0,25.0,,0.7,-2.89,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
18,Umred,Paradgaon,20.9203,79.2192,shallow,7.9,460.0,300.0,200.0,62.0,10.9,14.0,2.0,71.0,64.0,38.0,12.0,,0.42,-2.84,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
19,Umred,Virali,20.9172,79.2828,shallow,8.1,954.0,623.0,380.0,118.0,20.7,46.0,3.9,89.0,181.0,72.0,37.0,,1.03,-6.15,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
20,Umred,Bramhni,20.9128,79.3575,shallow,7.9,2433.0,1589.0,625.0,98.0,92.4,276.0,11.7,43.0,638.0,211.0,37.0,,4.8,-11.8,245.0,hardness,5,fail,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
21,Umred,Belgaon,20.829,79.3378,shallow,8.1,4920.0,3213.0,225.0,64.0,15.8,1035.0,15.6,124.0,1450.0,240.0,12.0,,30.0,-2.47,245.0,TDS,5,fail,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
22,Umred,Dighori,20.7783,79.2319,shallow,8.1,660.0,431.0,240.0,58.0,23.1,41.0,3.9,53.0,149.0,22.0,17.0,,1.16,-3.93,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
23,Nagpur (R),Shiwa,21.1172,78.7439,shallow,8.2,648.0,423.0,270.0,86.0,13.4,23.0,3.9,142.0,46.0,24.0,37.0,,0.61,-3.08,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
24,Hingna,Digdoh,21.0886,78.7567,shallow,7.9,1343.0,877.0,530.0,180.0,19.4,64.0,7.8,238.0,199.0,23.0,37.0,,1.22,-6.71,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
25,Hingna,Turagondi,21.1122,78.8314,shallow,8.0,658.0,430.0,205.0,64.0,10.9,53.0,3.9,82.0,78.0,58.0,25.0,,1.61,-2.76,245.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
26,Umred,Belpeth/Shedesh war,20.7477,79.1181,shallow,8.1,1600.0,1045.0,640.0,120.0,82.6,78.0,7.8,284.0,206.0,82.0,37.0,,1.34,-8.15,246.0,hardness,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
27,Umred,Kinhala,20.704,79.1405,shallow,7.9,581.0,379.0,200.0,64.0,9.7,41.0,2.0,43.0,103.0,48.0,37.0,,1.27,-3.3,246.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
28,Umred,Sirsi,20.6783,79.1619,shallow,7.9,1435.0,937.0,605.0,142.0,60.8,46.0,7.8,39.0,397.0,58.0,37.0,,0.81,-11.46,246.0,hardness,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
29,Nagpur (R),Bori,20.9194,79.0111,shallow,8.0,2040.0,1332.0,710.0,222.0,37.7,143.0,7.8,121.0,425.0,230.0,37.0,,2.33,-12.22,246.0,hardness,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
30,Nagpur,Gowari,21.2697,78.9478,shallow,7.9,1085.0,709.0,340.0,122.0,8.5,92.0,3.9,46.0,248.0,72.0,37.0,,2.17,-6.04,246.0,,5,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
31,Umred,Umrer,20.85,79.3333,shallow,7.9,2212.0,1171.0,637.5,139.0,69.3,181.8,10.22,862.4,130.3,182.0,2.0,0.92,3.14,1.49,246.0,hardness,6,pass,CGWB,"compiled 2019-20 (NAQUIM aquifer mapping, publ. 2021); includes earlier studies - no per-sample date published"
