crop,category,nagpur_relevance,ecw_0pct_dsm,ecw_10pct_dsm,ecw_25pct_dsm,ecw_50pct_dsm,ece_threshold_dsm,slope_pct_per_dsm,ecw_threshold_derived,method
Cotton,field,high,4.5,6.7,8.0,10.7,7.7,5.2,5.13,FAO ECw bands (direct)
Barley,field,low,5.3,8.0,10.7,12.0,8.0,5.0,5.33,FAO ECw bands (direct)
Sugarbeet,field,low,4.5,6.7,8.7,10.7,7.0,5.9,4.67,FAO ECw bands (direct)
Sorghum (jowar),field,high,2.7,4.0,6.0,8.0,6.8,16,4.53,FAO ECw bands (direct)
Wheat,field,high,3.1,4.7,6.7,9.3,6.0,7.1,4.00,FAO ECw bands (direct)
Soybean,field,high,2.5,3.7,4.7,6.0,5.0,20,3.33,FAO ECw bands (direct)
Cowpea,field,medium,,,,,4.9,12,3.27,"FAO ECe threshold+slope, ECw derived (ECe=1.5xECw)"
Groundnut,field,high,,,,,3.2,29,2.13,"FAO ECe threshold+slope, ECw derived (ECe=1.5xECw)"
Rice (paddy),field,high,2.2,3.3,4.0,5.3,3.0,12,2.00,FAO ECw bands (direct)
Sugarcane,field,medium,,,,,1.7,5.9,1.13,"FAO ECe threshold+slope, ECw derived (ECe=1.5xECw)"
Maize,field,high,2.2,3.3,4.0,4.7,1.7,12,1.13,FAO ECw bands (direct)
Broadbean,field,low,1.5,2.3,3.0,4.3,1.5,9.6,1.00,FAO ECw bands (direct)
Bean,field,medium,0.7,1.0,1.3,2.3,1.0,19,0.67,FAO ECw bands (direct)
Tomato,vegetable,high,,,,,2.5,9.9,1.67,"FAO ECe threshold+slope, ECw derived (ECe=1.5xECw)"
Cucumber,vegetable,medium,,,,,2.5,13,1.67,"FAO ECe threshold+slope, ECw derived (ECe=1.5xECw)"
Spinach,vegetable,medium,,,,,2.0,7.6,1.33,"FAO ECe threshold+slope, ECw derived (ECe=1.5xECw)"
Cabbage,vegetable,medium,,,,,1.8,9.7,1.20,"FAO ECe threshold+slope, ECw derived (ECe=1.5xECw)"
Potato,vegetable,medium,,,,,1.7,12,1.13,"FAO ECe threshold+slope, ECw derived (ECe=1.5xECw)"
Pepper / chilli,vegetable,high,,,,,1.5,14,1.00,"FAO ECe threshold+slope, ECw derived (ECe=1.5xECw)"
Lettuce,vegetable,low,,,,,1.3,13,0.87,"FAO ECe threshold+slope, ECw derived (ECe=1.5xECw)"
Onion,vegetable,high,,,,,1.2,16,0.80,"FAO ECe threshold+slope, ECw derived (ECe=1.5xECw)"
Carrot,vegetable,medium,,,,,1.0,14,0.67,"FAO ECe threshold+slope, ECw derived (ECe=1.5xECw)"
Date palm,fruit,low,,,,,4.0,3.6,2.67,"FAO ECe threshold+slope, ECw derived (ECe=1.5xECw)"
Grapefruit,fruit,low,,,,,1.8,16,1.20,"FAO ECe threshold+slope, ECw derived (ECe=1.5xECw)"
Orange (santra / sweet orange),fruit,VERY HIGH - Nagpur signature crop,,,,,1.7,16,1.13,"FAO ECe threshold+slope, ECw derived (ECe=1.5xECw)"
Lemon,fruit,medium,,,,,1.7,16,1.13,"FAO ECe threshold+slope, ECw derived (ECe=1.5xECw)"
Peach,fruit,low,,,,,1.7,21,1.13,"FAO ECe threshold+slope, ECw derived (ECe=1.5xECw)"
Apricot,fruit,low,,,,,1.6,24,1.07,"FAO ECe threshold+slope, ECw derived (ECe=1.5xECw)"
Grape,fruit,medium,,,,,1.5,9.6,1.00,"FAO ECe threshold+slope, ECw derived (ECe=1.5xECw)"
Plum,fruit,low,,,,,1.5,18,1.00,"FAO ECe threshold+slope, ECw derived (ECe=1.5xECw)"
Almond,fruit,low,,,,,1.5,19,1.00,"FAO ECe threshold+slope, ECw derived (ECe=1.5xECw)"
Strawberry,fruit,low,,,,,1.0,33,0.67,"FAO ECe threshold+slope, ECw derived (ECe=1.5xECw)"
Safflower,field,medium,3.5,5.3,7.3,8.0,,,,FAO ECw bands (direct)
Sesbania,field,medium,1.8,2.7,3.7,6.0,,,,FAO ECw bands (direct)
Flax,field,medium,1.3,2.0,3.0,4.3,,,,FAO ECw bands (direct)
